A/C,Source,G/F,units,0,20,40,50,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
Mosquito H-303 (36.2),IDA,36.2,m/s,,,,,,,0.69,0.65,0.63,0.63,0.63,0.64,0.67,0.71,0.75,0.8,0.85,0.92,0.99,1.07,1.15,1.24,1.34,1.45,1.57,1.7,1.84,1.99,2.16,2.33,,,
Mosquito H-303B (34),IDA,34,m/s,,,,,,,0.65,0.65,0.62,0.61,0.63,0.65,0.68,0.71,0.76,0.81,0.87,0.93,1,1.08,1.17,1.28,1.4,1.53,1.65,1.77,1.91,2.04,2.19,2.33,2.51,,
Nimbus 2 (30),IDA,30,m/s,,,,,,,,,0.52,0.53,0.54,0.57,0.6,0.66,0.72,0.78,0.86,0.93,1.03,1.11,1.18,1.24,1.28,,,,,,,,,,
Nimbus 2 (30),IDA,30,m/s,,,,,,,0.55,0.5,0.5,0.5,0.53,0.55,0.59,0.62,0.67,0.75,0.82,0.88,0.97,1.05,1.14,1.23,1.32,1.43,1.57,1.7,1.84,2,2.17,2.39,2.84,,
Nimbus 3 (29.5),IDA,29.5,m/s,,,,,,,,0.48,0.46,0.46,0.49,0.52,0.56,0.61,0.68,0.74,0.8,0.88,0.95,1.03,1.11,1.2,1.29,1.38,1.49,1.6,1.71,1.85,1.96,2.09,2.23,2.34,
Nimbus 3/24.5 (28.9),IDA,28.9,m/s,,,,,,,0.43,0.38,0.39,0.42,0.46,0.5,0.55,0.6,0.6,0.72,0.78,0.86,0.93,1.01,1.1,1.2,1.31,1.43,1.53,1.65,1.76,1.87,2.06,2.16,2.31,2.5,
Nimbus 3/24.5 (29.5),IDA,29.5,m/s,,,,,,,,0.44,0.43,0.41,0.44,0.46,0.52,0.57,0.63,0.69,0.75,0.82,0.9,1,1.08,1.17,1.26,1.36,1.46,1.58,1.69,1.8,1.92,2.04,2.17,2.3,
Pegase 101A (32.8),IDA,32.8,m/s,,,,,,,0.82,0.66,0.63,0.62,0.63,0.66,0.7,0.75,0.81,0.89,0.99,1.08,1.2,1.32,1.47,1.61,1.76,1.92,2.07,2.22,2.37,2.54,2.7,2.89,3.08,3.3,
Phoebus A (24.59),IDA,24.59,m/s,,,,,,0.83,0.75,0.68,0.67,0.69,0.73,0.8,0.85,0.92,0.99,1.09,1.17,1.26,1.36,1.49,,,,,,,,,,,,,
Phoenix T FS-24 (18.3),IDA,18.3,m/s,,,,,0.63,0.61,0.59,0.59,0.63,0.68,0.74,0.84,0.95,1.05,1.19,1.34,1.5,1.7,1.87,2.1,2.33,2.6,2.92,3.19,3.53,,,,,,,,
Pik 20D (32.5),IDA,32.5,m/s,,,,,,,0.71,0.67,0.66,0.66,0.67,0.68,0.72,0.77,0.83,0.89,0.98,1.06,1.15,1.25,1.35,1.46,1.58,1.69,1.8,1.92,2.05,2.2,2.34,2.49,,,
PW5 (27.36),IDA,27.36,m/s,,,,,,,0.72,0.69,0.7,0.72,0.76,0.83,0.92,1.05,1.12,1.25,1.4,1.55,1.7,1.87,2.04,2.22,2.41,2.52,2.83,3.6,,,,,,,
PW5 (24.6),MD,24.6,m/s,,,,,,,0.65,0.64,0.68,0.7,0.8,0.87,0.95,1.05,1.17,1.3,1.4,1.58,1.75,1.9,2.1,,,,,,,,,,,,
PW5 (29.5),MD,29.5,m/s,,,,,,,0.77,0.68,0.71,0.71,0.77,0.82,0.9,0.99,1.06,1.16,1.25,1.36,1.47,1.65,1.84,2.04,2.28,2.5,2.72,2.99,,,,,,,
